1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1", "isView": false, "tableName": "PAMOSREGISTRYAPPLICATION", "isFullTextSearch": false, "greenplumReplicatedOption": true}
1.1|Поле|Дата включения в Мос. Реестр|mosRegistryDate|Дата|-|Нет|!!ToDo: Добавить описание|{"number": "1.1", "name": "mosRegistryDate", "static": true, "dataType": "DATE", "fetchMode": "NORMAL", "calculated": false, "displayName": "Дата включения в Мос. Реестр", "fullTextIndexed": false, "hideFilterOptions": false}
1.1.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.1.1", "maxDate": "2100-01-01T00:00:00", "minDate": "1900-01-01T00:00:00"}
1.2|Поле|Код по Московскому реестру|mosRegistryCode|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.2", "name": "mosRegistryCode", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Код по Московскому реестру", "fullTextIndexed": false, "hideFilterOptions": false}
1.3|Поле|Код ГРБС|grbsCode|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.3", "name": "grbsCode", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Код ГРБС", "fullTextIndexed": false, "hideFilterOptions": false}
1.4|Поле|Наименование ГРБС|grbsName|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.4", "name": "grbsName", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Наименование ГРБС", "fullTextIndexed": false, "hideFilterOptions": false}
1.5|Поле|Дата начала действия|startDate|Дата|-|Нет|!!ToDo: Добавить описание|{"number": "1.5", "name": "startDate", "static": true, "dataType": "DATE", "fetchMode": "NORMAL", "calculated": false, "displayName": "Дата начала действия", "fullTextIndexed": false, "hideFilterOptions": false}
1.5.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.5.1", "maxDate": "2100-01-01T00:00:00", "minDate": "1900-01-01T00:00:00"}
1.6|Поле|Дата окончания действия|endDate|Дата|-|Нет|!!ToDo: Добавить описание|{"number": "1.6", "name": "endDate", "static": true, "dataType": "DATE", "fetchMode": "NORMAL", "calculated": false, "displayName": "Дата окончания действия", "fullTextIndexed": false, "hideFilterOptions": false}
1.6.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.6.1", "maxDate": "2100-01-01T00:00:00", "minDate": "1900-01-01T00:00:00"}
1.7|Поле|Является учредителем (Сведения об учредителе)|isFounder|Логический|-|Да|!!ToDo: Добавить описание|{"number": "1.7", "name": "isFounder", "static": true, "dataType": "BOOLEAN", "required": true, "fetchMode": "NORMAL", "calculated": false, "displayName": "Является учредителем (Сведения об учредителе)", "defaultValue": false, "fullTextIndexed": false, "defaultValueMode": "CONST", "hideFilterOptions": false}
1.7.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.7.1"}
1.8|Поле|Является обособленным подразделением (Сведения об обособленном подразделении)|isSeparateSub|Логический|-|Да|!!ToDo: Добавить описание|{"number": "1.8", "name": "isSeparateSub", "static": true, "dataType": "BOOLEAN", "required": true, "fetchMode": "NORMAL", "calculated": false, "displayName": "Является обособленным подразделением (Сведения об обособленном подразделении)", "defaultValue": false, "fullTextIndexed": false, "defaultValueMode": "CONST", "hideFilterOptions": false}
1.8.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.8.1"}
1.9|Поле|Сведения о создании организации (c участием/без участия города Москвы)|isEstablishmentInfo|Логический|-|Да|!!ToDo: Добавить описание|{"number": "1.9", "name": "isEstablishmentInfo", "static": true, "dataType": "BOOLEAN", "required": true, "fetchMode": "NORMAL", "calculated": false, "displayName": "Сведения о создании организации (c участием/без участия города Москвы)", "defaultValue": false, "fullTextIndexed": false, "defaultValueMode": "CONST", "hideFilterOptions": false}
1.9.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.9.1"}
1.10|Поле|ИНН|inn|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.10", "name": "inn", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "ИНН", "fullTextIndexed": false, "hideFilterOptions": false}
1.11|Поле|КПП|kpp|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.11", "name": "kpp", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "КПП", "fullTextIndexed": false, "hideFilterOptions": false}
1.12|Поле|ОГРН|ogrn|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.12", "name": "ogrn", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "ОГРН", "fullTextIndexed": false, "hideFilterOptions": false}
1.13|Поле|Код по Сводному реестру|consolidatedRegisterCode|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.13", "name": "consolidatedRegisterCode", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Код по Сводному реестру", "fullTextIndexed": false, "hideFilterOptions": false}
1.14|Поле|Дата постановки на учет в ФНС России (по данным ЕГРЮЛ)|registrationFtsDate|Дата|-|Нет|!!ToDo: Добавить описание|{"number": "1.14", "name": "registrationFtsDate", "static": true, "dataType": "DATE", "fetchMode": "NORMAL", "calculated": false, "displayName": "Дата постановки на учет в ФНС России (по данным ЕГРЮЛ)", "fullTextIndexed": false, "hideFilterOptions": false}
1.14.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.14.1", "maxDate": "2100-01-01T00:00:00", "minDate": "1900-01-01T00:00:00"}
1.15|Поле|Код УНК|unkCode|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.15", "name": "unkCode", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Код УНК", "fullTextIndexed": false, "hideFilterOptions": false}
1.16|Поле|КПП крупнейшего налогоплательщика (при наличии)|taxPayerKpp|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.16", "name": "taxPayerKpp", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "КПП крупнейшего налогоплательщика (при наличии)", "fullTextIndexed": false, "hideFilterOptions": false}
1.16.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.16.1"}
1.17|Поле|Тип организации|orgType|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.17", "name": "orgType", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Тип организации", "fullTextIndexed": false, "hideFilterOptions": false}
1.18|Поле|Тип учреждения|institutionType|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.18", "name": "institutionType", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Тип учреждения", "fullTextIndexed": false, "hideFilterOptions": false}
1.19|Поле|Телефон организации|orgPhone|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.19", "name": "orgPhone", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Телефон организации", "fullTextIndexed": false, "hideFilterOptions": false}
1.20|Поле|Уровень бюджета|budgetLevel|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.20", "name": "budgetLevel", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Уровень бюджета", "fullTextIndexed": false, "hideFilterOptions": false}
1.21|Поле|Наименование (Уровня бюджета)|budgetLevelName|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.21", "name": "budgetLevelName", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Наименование (Уровня бюджета)", "fullTextIndexed": false, "hideFilterOptions": false}
1.22|Поле|Бюджет|budget|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.22", "name": "budget", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Бюджет", "fullTextIndexed": false, "hideFilterOptions": false}
1.23|Поле|Наименование (Бюджета)|budgetName|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.23", "name": "budgetName", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Наименование (Бюджета)", "fullTextIndexed": false, "hideFilterOptions": false}
1.24|Поле|Почтовый индекс|postalCode|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.24", "name": "postalCode", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Почтовый индекс", "fullTextIndexed": false, "hideFilterOptions": false}
1.25|Поле|Код региона|regionCode|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.25", "name": "regionCode", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Код региона", "fullTextIndexed": false, "hideFilterOptions": false}
1.26|Поле|Субъект РФ?|rfSubject|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.26", "name": "rfSubject", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Субъект РФ?", "fullTextIndexed": false, "hideFilterOptions": false}
1.27|Поле|Район|district|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.27", "name": "district", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Район", "fullTextIndexed": false, "hideFilterOptions": false}
